id,Ethnicity,Date of Birth,Account Type,date
829567,Asian,2019-05-17,Gold,2023-12-19
695485,White,1954-11-26,Gold,2023-02-12
809555,Other,1952-05-07,Basic,2023-06-26
402835,Other,1941-05-25,Platinum,2023-08-27
598899,Black,1999-01-10,Basic,2023-09-19
442375,White,1985-06-15,Platinum,2023-09-16
991305,Other,1986-10-30,Platinum,2023-04-16
900289,Other,1987-01-29,Basic,2023-06-16
339687,White,1946-11-29,Basic,2023-04-09
271529,Asian,2012-07-10,Platinum,2023-11-21
549280,Black,1971-12-03,Platinum,2023-06-30
848661,Black,1957-12-02,Platinum,2023-10-08
548663,Asian,1949-05-31,Basic,2023-12-04
919938,White,1995-12-06,Gold,2023-10-31
639573,Other,1943-10-07,Gold,2023-02-03
775261,White,1952-02-23,Gold,2023-05-03
949651,Other,1940-09-13,Platinum,2023-11-25
172511,Other,1945-07-11,Gold,2023-10-18
662810,Asian,1994-12-11,Gold,2023-02-25
982951,Black,1982-03-06,Platinum,2023-03-03
663516,Other,1996-11-07,Gold,2023-04-25
881809,White,1961-10-29,Basic,2023-08-10
785851,Other,1981-06-12,Basic,2023-11-08
858519,White,2000-01-27,Gold,2023-07-01
677472,Black,1996-01-18,Gold,2023-10-16
194837,Other,1962-06-28,Platinum,2023-07-12
850402,Other,1991-09-17,Gold,2023-01-23
572462,Black,1965-05-29,Platinum,2023-07-29
141629,Other,1957-03-09,Basic,2023-11-04
892338,White,1961-06-03,Platinum,2023-11-05
621479,White,1968-01-12,Basic,2023-03-22
467421,Asian,1975-04-12,Basic,2023-06-02
149442,Other,1952-06-10,Gold,2023-02-23
652834,Black,1982-11-19,Gold,2023-09-10
435231,Black,2012-01-02,Gold,2023-02-11
693419,Black,1950-02-27,Gold,2023-10-26
307727,Other,1972-01-06,Basic,2023-09-20
713378,Black,1977-09-28,Basic,2023-11-13
499227,Other,1978-09-12,Gold,2023-08-03
430898,Other,1947-05-04,Basic,2023-06-11
383716,Asian,2000-06-22,Platinum,2023-09-27
128016,Black,1952-10-26,Platinum,2023-06-04
687501,Black,1976-08-21,Platinum,2023-04-06
352584,Black,2000-06-13,Basic,2023-05-16
494788,Black,1968-05-05,Gold,2023-11-11
596604,Asian,2000-04-29,Gold,2023-01-17
798734,Black,1957-11-05,Gold,2023-07-20
911471,White,2007-01-11,Basic,2023-04-05
732882,White,1950-06-15,Platinum,2023-08-18
755287,Black,1997-08-27,Platinum,2023-03-24
704688,Other,2017-01-02,Basic,2023-12-28
777515,White,1989-04-03,Basic,2023-01-31
284005,Asian,1992-07-02,Basic,2023-04-05
516450,Black,1986-01-12,Gold,2023-07-17
779147,Other,1989-07-28,Basic,2023-12-27
414182,White,1973-01-24,Gold,2023-08-30
878212,White,1957-03-01,Basic,2023-12-08
673358,Other,2014-01-14,Platinum,2023-01-12
499108,White,1949-11-21,Platinum,2023-04-11
287144,White,1976-09-25,Platinum,2023-03-23
619806,Asian,1974-02-11,Platinum,2023-07-17
371271,Other,2001-08-28,Basic,2023-10-25
716900,Asian,2003-09-30,Gold,2023-12-18
398707,Black,2012-05-03,Gold,2023-08-22
742714,Black,1968-04-04,Gold,2023-05-05
610159,Black,2005-12-05,Gold,2023-05-09
125311,Black,2008-05-01,Basic,2023-10-01
472221,White,1994-10-12,Platinum,2023-08-17
458824,Asian,1967-08-03,Basic,2023-04-19
980787,Black,1975-02-18,Platinum,2023-03-13
931023,Black,1985-03-05,Platinum,2023-09-07
472457,Black,1991-01-30,Gold,2023-01-19
754791,Other,1952-07-17,Basic,2023-01-03
287391,Other,1954-11-25,Platinum,2023-02-06
954550,Black,1953-01-23,Gold,2023-04-08
141861,Other,2005-06-13,Gold,2023-12-10
731003,White,1941-09-16,Platinum,2023-01-13
525493,Other,1976-03-28,Platinum,2023-05-21
914893,White,1969-01-03,Basic,2023-07-18
662004,Black,2014-04-03,Platinum,2023-09-03
140408,Black,1955-03-17,Gold,2023-12-23
610368,Other,1965-07-15,Basic,2023-08-22
439709,Other,2009-08-21,Basic,2023-10-05
340059,White,2004-01-24,Basic,2023-04-06
217539,White,1954-07-03,Basic,2023-10-29
212881,Black,2002-03-19,Platinum,2023-07-16
315439,White,1999-05-23,Basic,2023-02-09
656164,Asian,1956-07-22,Basic,2023-04-02
569706,Asian,2014-05-16,Gold,2023-03-18
618456,Asian,2009-03-13,Basic,2023-08-06
984843,Asian,1958-09-23,Platinum,2023-04-28
660049,Asian,1984-11-21,Basic,2023-08-02
762634,White,1980-01-14,Platinum,2023-10-19
500741,Other,1955-12-26,Basic,2023-03-23
664634,Black,1952-03-05,Basic,2023-02-06
601677,Other,1964-01-09,Basic,2023-11-05
871764,White,1967-10-29,Gold,2023-01-02
347274,Black,1993-06-17,Basic,2023-04-09
121392,Black,1980-04-06,Gold,2023-08-15
175875,Asian,1970-11-19,Gold,2023-10-10
813344,White,1966-11-04,Gold,2023-01-20
487923,White,1990-06-28,Platinum,2023-03-22
354147,Black,2019-04-14,Gold,2023-12-20
667852,Black,1947-03-28,Basic,2023-06-27
920752,White,1990-09-01,Gold,2023-01-04
374944,Black,1965-03-20,Basic,2023-08-25
264065,Other,1975-12-08,Platinum,2023-03-30
568991,White,1979-04-27,Gold,2023-01-16
426552,White,1995-09-13,Gold,2023-05-24
842913,Other,1945-04-22,Gold,2023-03-29
491387,Asian,2001-11-04,Platinum,2023-10-28
319351,Black,1961-08-11,Gold,2023-09-01
245830,Asian,1972-09-02,Basic,2023-07-06
673773,White,1951-09-22,Gold,2023-08-26
765987,Black,1989-06-25,Platinum,2023-12-22
683051,Black,1957-07-08,Basic,2023-01-13
511565,Black,1995-03-17,Platinum,2023-12-07
611755,Other,1949-02-11,Platinum,2023-09-28
582577,Black,1999-01-24,Gold,2023-03-11
202437,Other,1976-12-30,Platinum,2023-10-29
868193,White,1948-09-11,Basic,2023-12-14
325886,Asian,1941-05-19,Gold,2023-09-14
314848,Asian,2015-11-30,Gold,2023-12-14
973103,Asian,1942-03-29,Platinum,2023-03-19
630270,Other,1964-01-26,Platinum,2023-08-23
401721,Other,1955-12-15,Platinum,2023-10-08
592566,Asian,1989-05-08,Basic,2023-12-30
528281,Black,2009-12-22,Basic,2023-02-22
316468,Asian,1963-09-22,Gold,2023-07-23
121769,Asian,1948-12-31,Gold,2023-08-13
644707,White,1995-07-05,Platinum,2023-10-03
881325,Other,1981-07-11,Basic,2023-06-21
325644,White,1995-03-20,Basic,2023-06-24
753670,Black,1991-12-04,Basic,2023-11-14
867729,Black,1957-04-24,Basic,2023-02-03
528483,Black,2010-05-03,Platinum,2023-04-26
589567,Black,1961-05-10,Platinum,2023-06-17
803346,Other,2015-09-17,Gold,2023-10-08
369221,Black,2019-03-04,Platinum,2023-01-18
611859,Other,1977-12-02,Platinum,2023-01-18
637023,Black,1953-11-23,Platinum,2023-04-03
895152,Asian,1941-08-04,Basic,2023-03-28
676797,Asian,1986-11-03,Gold,2023-03-03
531040,White,1978-07-17,Gold,2023-11-03
285157,Asian,2010-01-16,Gold,2023-04-21
888481,Other,2017-10-14,Basic,2023-01-11
957631,Black,1956-06-19,Basic,2023-01-29
638704,Other,1946-04-06,Gold,2023-03-21
