school_name,Electricity Cost,Water Cost,Gas Cost,Maintenance Cost,total_cost,date
School A,5000,1000,800,1500,8300,2021-01-01
School A,4800,900,750,1400,7850,2021-02-01
School A,5100,950,780,1450,8280,2021-03-01
School A,5200,1050,820,1550,8620,2021-04-01
School A,5100,1000,800,1520,8420,2021-05-01
School A,5000,900,750,1500,8150,2021-06-01
School A,4800,950,780,1400,7930,2021-07-01
School A,5200,1000,820,1550,8570,2021-08-01
School A,5100,1050,800,1520,8470,2021-09-01
School A,5000,900,750,1500,8150,2021-10-01
School A,4800,950,780,1400,7930,2021-11-01
School A,5200,1000,820,1550,8570,2021-12-01
School B,4500,800,700,1350,7350,2021-01-01
School B,4700,850,730,1420,7700,2021-02-01
School B,4800,900,750,1450,7900,2021-03-01
School B,4600,820,700,1400,7520,2021-04-01
School B,4500,800,730,1350,7380,2021-05-01
School B,4700,850,750,1420,7720,2021-06-01
School B,4800,900,700,1450,7850,2021-07-01
School B,4600,820,730,1400,7550,2021-08-01
School B,4500,800,750,1350,7400,2021-09-01
School B,4700,850,700,1420,7670,2021-10-01
School B,4800,800,650,1420,7670,2021-11-01
School B,4900,750,750,1420,7820,2021-12-01
School C,4300,780,680,1300,7060,2021-01-01
School C,4200,750,640,1200,6790,2021-02-01
School C,4400,800,700,1350,7250,2021-03-01
School C,4450,820,710,1370,7350,2021-04-01
School C,4300,780,680,1300,7060,2021-05-01
School C,4200,750,700,1350,7000,2021-06-01
School C,4400,800,710,1370,7280,2021-07-01
School C,4450,820,680,1300,7250,2021-08-01
School C,4300,780,700,1350,7130,2021-09-01
School C,4200,750,710,1370,7030,2021-10-01
School C,4400,800,680,1300,7180,2021-11-01
School C,4450,820,700,1350,7320,2021-12-01
School D,4100,720,630,1250,6700,2021-01-01
School D,4000,700,610,1220,6530,2021-02-01
School D,4200,750,630,1250,6830,2021-03-01
School D,4250,780,640,1270,6940,2021-04-01
School D,4100,720,610,1220,6650,2021-05-01
School D,4000,700,630,1250,6580,2021-06-01
School D,4200,750,640,1270,6860,2021-07-01
School D,4250,780,610,1220,6860,2021-08-01
School D,4100,720,630,1250,6700,2021-09-01
School D,4000,700,640,1270,6610,2021-10-01
School D,4200,750,610,1220,6780,2021-11-01
School D,4250,780,630,1250,6910,2021-12-01
