store,bike_type,date,sales,profit,profit_running_mean_3p
Brixton,Gravel,2020-01-01,199.36,80.8808,
Brixton,Mountain,2020-01-01,42.66,20.6796,
Brixton,Road,2020-01-01,6.48,3.11,
Chelsea,Gravel,2020-01-01,158.73000000000002,45.829499999999996,
Chelsea,Mountain,2020-01-01,5.48,1.4796,
Chelsea,Road,2020-01-01,12.78,5.2398,
Covent Garden,Gravel,2020-01-01,0.0,0.0,
Covent Garden,Mountain,2020-01-01,0.0,0.0,
Covent Garden,Road,2020-01-01,0.0,0.0,
Croydon,Gravel,2020-01-01,0.0,0.0,
Croydon,Mountain,2020-01-01,0.0,0.0,
Croydon,Road,2020-01-01,0.0,0.0,
Dulwich,Gravel,2020-01-01,247.716,93.5816,
Dulwich,Mountain,2020-01-01,0.0,0.0,
Dulwich,Road,2020-01-01,64.864,6.4864,
Fulham,Gravel,2020-01-01,584.59,34.3273,
Fulham,Mountain,2020-01-01,75.24,35.253,
Fulham,Road,2020-01-01,117.12,48.7254,
Mayfair,Gravel,2020-01-01,5.94,0.0,
Mayfair,Mountain,2020-01-01,31.12,0.3112,
Mayfair,Road,2020-01-01,0.0,0.0,
Notting Hill,Gravel,2020-01-01,1613.88,311.6178,
Notting Hill,Mountain,2020-01-01,2573.82,746.4078,
Notting Hill,Road,2020-01-01,0.0,0.0,
Peckham,Gravel,2020-01-01,1693.58,279.89209999999997,
Peckham,Mountain,2020-01-01,762.656,-64.7748,
Peckham,Road,2020-01-01,572.58,34.3548,
Richmond,Gravel,2020-01-01,824.13,150.93179999999998,
Richmond,Mountain,2020-01-01,1491.27,370.41779999999994,
Richmond,Road,2020-01-01,209.5,58.66,
Shoreditch,Gravel,2020-01-01,806.135,-313.248,
Shoreditch,Mountain,2020-01-01,0.0,0.0,
Shoreditch,Road,2020-01-01,203.92000000000002,-13.5368,
Soho,Gravel,2020-01-01,132.06,47.6628,
Soho,Mountain,2020-01-01,0.0,0.0,
Soho,Road,2020-01-01,62.3,30.8092,
Stratford,Gravel,2020-01-01,0.0,0.0,
Stratford,Mountain,2020-01-01,0.0,0.0,
Stratford,Road,2020-01-01,0.0,0.0,
Tottenham,Gravel,2020-01-01,333.0,-16.65,
Tottenham,Mountain,2020-01-01,0.0,0.0,
Tottenham,Road,2020-01-01,0.0,0.0,
Westminster,Gravel,2020-01-01,117.474,-34.4767,
Westminster,Mountain,2020-01-01,613.52,269.00399999999996,
Westminster,Road,2020-01-01,83.51400000000001,-43.7886,
Whitechapel,Gravel,2020-01-01,30.072,10.1493,
Whitechapel,Mountain,2020-01-01,11.784,4.2717,
Whitechapel,Road,2020-01-01,2.89,1.3583,
Wimbledon,Gravel,2020-01-01,181.14999999999998,75.728,
Wimbledon,Mountain,2020-01-01,0.0,0.0,
Wimbledon,Road,2020-01-01,646.74,258.696,
Brixton,Gravel,2020-02-01,91.288,34.1865,
Brixton,Mountain,2020-02-01,47.2,22.3136,
Brixton,Road,2020-02-01,0.0,0.0,
Chelsea,Gravel,2020-02-01,73.664,12.2136,
Chelsea,Mountain,2020-02-01,0.0,0.0,
Chelsea,Road,2020-02-01,0.0,0.0,
